Cuenta,Subcuenta,Objeto,Ordinal,Aporte nacional,Recursos propios,TOTAL,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n,Año,Indice_base_2025,apropiaciones_constantes_2025
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y actualización de los sistemas de información y de la plataforma tecnológica del  senado de la república en el territorio  nacional,,3265000000.0,,3265000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,7.0,,2019,68.50103299557757,47663514.8
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Ampliación y actualización del sistema integrado de seguridad del congreso en el territorio  nacional,,4067492499.0,,4067492499.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,8.0,,2019,68.50103299557757,59378557.09800168
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,"Adecuación de la infraestructura física del senado de la república, a nivel  nacional",,12625000000.0,,12625000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,10.0,,2019,68.50103299557757,184303790.0
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y protección en los desplazamientos de los representantes a la cámara.  nacional,,45000000000.0,,45000000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,2.0,,2019,68.50103299557757,656924400.0
Gastos de personal,Planta de personal permanente,Salario,,55078471760.0,,55078471760.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,804053155.8634431
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,22592000000.0,,22592000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,329805245.44
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,26594528240.0,,26594528240.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,388235433.4965568
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,525000000.0,,525000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,2.0,1.0,,,2019,68.50103299557757,7664118.0
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,41980947020.0,,41980947020.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,2.0,2.0,,,2019,68.50103299557757,612851298.5010064
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz : programa desmovilizados,10300000000.0,,10300000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,51.0,2019,68.50103299557757,150362696.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Plan de promocion de colombia en el exterior,1126000000.0,,1126000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,52.0,2019,68.50103299557757,16437708.32
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades del orden territorial, gobierno nacional y los ciudadanos",7000000000.0,,7000000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,77.0,2019,68.50103299557757,102188240.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,1797052980.0,,1797052980.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,999.0,2019,68.50103299557757,26233954.4589936
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,886000000.0,,886000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,10.0,1.0,1.0,2019,68.50103299557757,12934111.52
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,208000000.0,,208000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,1.0,,,2019,68.50103299557757,3036450.56
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,64000000.0,,64000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,3.0,,,2019,68.50103299557757,934292.48
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,436000000.0,,436000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,6364867.52
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,37000000.0,,37000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,4.0,3.0,,2019,68.50103299557757,540137.84
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Diseño e implementación del sistema nacional de información para el seguimiento, monitoreo y evaluación de la política pública integral en derechos humanos  nacional",,849655385.0,,849655385.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,201.0,1000.0,3.0,,2019,68.50103299557757,12403541.1999532
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de las entidades del estado que conforman el sistema nacional de derechos humanos y dih para diseñar, implementar y evaluar la política integral en la materia, y construir una cultura de derechos humanos y dih.  nacional",,400000000.0,,400000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,201.0,1000.0,4.0,,2019,68.50103299557757,5839328.0
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Desarrollo de la política intersectorial de prevención del reclutamiento, utilización, uso y violencia sexual de niños, niñas y adolescentes por parte de grupos armados al margen de a ley y grupos delictivos organizados   nacional",,1602000000.0,,1602000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,201.0,1000.0,5.0,,2019,68.50103299557757,23386508.64
Gestión de espacios para fortalecer el desarrollo integral de la primera infancia desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la coordinación y articulación intersectorial para la sostenibilidad en la implementación de la política de estado para el desarrollo integral de la primera infancia a nivel   nacional,,3400000000.0,,3400000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,202.0,1000.0,2.0,,2019,68.50103299557757,49634288.0
Consolidación de la lucha contra la corrupción desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la institucionalidad, las herramientas y los mecanismos para la promoción y garantía de la transparencia, acceso a la información pública y lucha contra la corrupción a nivel  nacional",,2000000000.0,,2000000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,203.0,1000.0,2.0,,2019,68.50103299557757,29196640.0
Gestión para impulsar el desarrollo integral de los y las jóvenes desde el sector presidencia,Intersubsectorial gobierno,Mejoramiento de las capacidades para la incidencia y gestión del sistema nacional de juventud a nivel  nacional,,1927848702.0,,1927848702.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,204.0,1000.0,2.0,,2019,68.50103299557757,28143352.26338064
Fortalecimiento de las capacidades institucionales en transversalización del enfoque de género dentro de las entidades de los niveles nacional y territorial desde el sector presidencia,Intersubsectorial gobierno,Implementación de los enfoques de género e interseccionalidad en la gestión pública a nivel   nacional,,3260000000.0,,3260000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,205.0,1000.0,2.0,,2019,68.50103299557757,47590523.199999996
Acción integral contra minas antipersonal como mecanismo de transición hacia la paz territorial desde el sector presidencia,Intersubsectorial gobierno,Consolidación de la acción integral contra minas antipersonal en el marco del posconflicto a nivel   nacional,,4006741491.0,,4006741491.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,206.0,1000.0,2.0,,2019,68.50103299557757,58491694.44289512
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento y protección de los bienes muebles e inmuebles de la presidencia de la república en  cartagena, bogotá, sopó",,7360000000.0,,7360000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,4.0,,2019,68.50103299557757,107443635.2
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,Mejoramiento en la organización técnica del archivo central del dapre a nivel  bogotá,,2142401636.0,,2142401636.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,5.0,,2019,68.50103299557757,31275464.650851518
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la plataforma de tic del departamento administrativo de la presidencia de la república en las sedes de   bogotá, cartagena, sopó",,11500000000.0,,11500000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,6.0,,2019,68.50103299557757,167880680.0
Gastos de personal,Planta de personal permanente,Salario,,6486000000.0,,6486000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,94684703.52
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,2492000000.0,,2492000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,36379013.44
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,665000000.0,,665000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,9707882.8
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,3824000000.0,,3824000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,2.0,2.0,,,2019,68.50103299557757,55823975.68
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Fondo de cooperación y asistencia internacional  (ley 318 de 1996),14869000000.0,,14869000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,3.0,2.0,2.0,137.0,2019,68.50103299557757,217062420.07999998
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,1000000.0,,1000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,8.0,1.0,,,2019,68.50103299557757,14598.32
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,78000000.0,,78000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,1138668.96
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la oferta académica internacional de colombia en el marco de la cooperación sur-sur,  nacional",,1323586750.0,,1323586750.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,6.0,,2019,68.50103299557757,19322142.924259998
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Implementación de proyectos de cooperación internacional no reembolsable con aporte de recursos de contrapartida  nacional,,2647173502.0,,2647173502.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,7.0,,2019,68.50103299557757,38644285.87771664
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Distribución de recursos de cooperación internacional no reembolsable a entidades del orden  nacional - distribución previo concepto dnp,,,30141000000.0,30141000000.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,8.0,,2019,68.50103299557757,440007963.12
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Administración , ejecución y seguimiento de recursos de cooperación internacional a nivel  nacional",,,60891000000.0,60891000000.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,9.0,,2019,68.50103299557757,888906303.12
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Fortalecimiento de las capacidades tecnológicas de la información en apc-colombia   nacional,,756335286.0,,756335286.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,10.0,,2019,68.50103299557757,11041224.53231952
Gastos de personal,Planta de personal permanente,Salario,,6407000000.0,,6407000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,93531436.24
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,2210000000.0,,2210000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,32262287.2
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,307000000.0,,307000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,4481684.24
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,387000000.0,,387000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,2.0,1.0,,,2019,68.50103299557757,5649549.84
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,3166000000.0,,3166000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,2.0,2.0,,,2019,68.50103299557757,46218281.12
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,1307000000.0,,1307000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,3.0,1.0,999.0,2019,68.50103299557757,19080004.24
Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,Atencion de desastres y emergencias en el territorio nacional -fondo nacional de gestion del riego de desastres,42100000000.0,,42100000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,3.0,4.0,13.0,2019,68.50103299557757,614589272.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,132000000.0,,132000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,10.0,1.0,1.0,2019,68.50103299557757,1926978.24
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,132000000.0,,132000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,10.0,1.0,2.0,2019,68.50103299557757,1926978.24
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,7000000.0,,7000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,8.0,1.0,,,2019,68.50103299557757,102188.24
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,169000000.0,,169000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,2467116.08
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento  de la reducción del riesgo de desastres en el marco de la ley 1523 de 2012, por fenómeno de erosión costera en la ciudad de  cartagena",,50000000000.0,,50000000000.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,207.0,1000.0,5.0,,2019,68.50103299557757,729916000.0
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la gestión del riesgo de desastres en la  zona de amenaza volcánica alta-zava del volcán galeras  pasto, nariño, la florida",,20896432618.0,,20896432618.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,207.0,1000.0,6.0,,2019,68.50103299557757,305052810.21600175
Gastos de personal,Planta de personal permanente,Salario,,24103002000.0,,24103002000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,351863336.15664
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,8511623000.0,,8511623000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,124255396.27336
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,834955000.0,,834955000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,12188940.2756
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,7816081285.0,,7816081285.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,2.0,2.0,,,2019,68.50103299557757,114101655.7444412
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz: programa de reintegracion social y economica,96761506300.0,,96761506300.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,3.0,3.0,1.0,1.0,2019,68.50103299557757,1412555432.649416
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,318000.0,,318000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,8.0,1.0,,,2019,68.50103299557757,4642.26576
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,239764000.0,,239764000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,3500151.59648
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,"Servicio en generación de espacios de convivencia, reconciliación, reintegración y fortalecimiento de entornos protectores de los nnaj.   nacional",,476029950.0,,476029950.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,211.0,1000.0,2.0,,2019,68.50103299557757,6949237.5396839995
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Prevención riesgos de victimización y reincidencia en población en proceso de reintegración y en reincorporación  nacional,,510227492.0,,510227492.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,211.0,1000.0,3.0,,2019,68.50103299557757,7448464.20101344
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la reincorporación de los exintegrantes de las farc-ep  nacional,,338252255.0,,338252255.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,211.0,1000.0,4.0,,2019,68.50103299557757,4937914.6592116
Gastos de personal,Planta de personal permanente,Salario,,2131112255.0,,2131112255.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,31110658.6544116
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,903849700.0,,903849700.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,13194687.152503999
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,689129100.0,,689129100.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,10060127.123112
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,2500000.0,,2500000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,2.0,1.0,,,2019,68.50103299557757,36495.8
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,1006097680.0,84600000.0,1090697680.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,2.0,2.0,,,2019,68.50103299557757,15922353.7558976
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),10000000.0,,10000000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,3.0,4.0,2.0,12.0,2019,68.50103299557757,145983.2
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,55613820.0,,55613820.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,8.0,1.0,,,2019,68.50103299557757,811868.3407824
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,85490000.0,,85490000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,1248010.3768
Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Renovación urbana ciudad can  bogotá,,3381636511.0,,3381636511.0,213,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,209.0,1000.0,3.0,,2019,68.50103299557757,49366211.91126152
Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Desarrollo y formulación de proyectos estratégicos de renovación y desarrollo urbano en municipios y distritos de colombia  nacional,,2563363489.0,,2563363489.0,213,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,209.0,1000.0,4.0,,2019,68.50103299557757,37420800.48873848
Gastos de personal,Planta de personal permanente,Salario,,22039000000.0,,22039000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,1.0,1.0,1.0,,2019,68.50103299557757,321732374.48
